,Medio empleado,Sexo,Edad,Total
20,0,1,1,1.63
21,0,1,2,8.97
22,0,1,3,17.94
23,0,1,4,28.54
24,0,1,5,39.14
25,0,1,6,57.08
26,0,1,7,66.87
27,0,1,8,79.1
28,0,1,9,82.9
29,0,1,10,69.04
30,0,1,11,46.21
31,0,1,12,44.03
32,0,1,13,45.12
33,0,1,14,39.41
34,0,1,15,55.45
35,0,1,16,38.87
36,0,1,17,15.22
37,0,1,18,3.26
38,0,2,0,261.21
39,0,2,1,1.9
40,0,2,2,4.62
41,0,2,3,4.35
42,0,2,4,9.79
43,0,2,5,8.43
44,0,2,6,18.21
45,0,2,7,26.64
46,0,2,8,20.66
47,0,2,9,31.53
48,0,2,10,29.36
49,0,2,11,22.02
50,0,2,12,18.48
51,0,2,13,21.47
52,0,2,14,16.04
53,0,2,15,14.95
54,0,2,16,10.06
55,0,2,17,2.17
56,0,2,18,0.54
57,60,0,0,0.54
58,60,0,1,0.0
59,60,0,2,0.0
60,60,0,3,0.27
61,60,0,4,0.0
62,60,0,5,0.0
63,60,0,6,0.0
64,60,0,7,0.27
65,60,0,8,0.0
66,60,0,9,0.0
67,60,0,10,0.0
68,60,0,11,0.0
69,60,0,12,0.0
70,60,0,13,0.0
71,60,0,14,0.0
72,60,0,15,0.0
73,60,0,16,0.0
74,60,0,17,0.0
75,60,0,18,0.0
76,60,1,0,0.0
77,60,1,1,0.0
78,60,1,2,0.0
79,60,1,3,0.0
80,60,1,4,0.0
81,60,1,5,0.0
82,60,1,6,0.0
83,60,1,7,0.0
84,60,1,8,0.0
85,60,1,9,0.0
86,60,1,10,0.0
87,60,1,11,0.0
88,60,1,12,0.0
89,60,1,13,0.0
90,60,1,14,0.0
91,60,1,15,0.0
92,60,1,16,0.0
93,60,1,17,0.0
94,60,1,18,0.0
95,60,2,0,0.54
96,60,2,1,0.0
97,60,2,2,0.0
98,60,2,3,0.27
99,60,2,4,0.0
100,60,2,5,0.0
101,60,2,6,0.0
102,60,2,7,0.27
103,60,2,8,0.0
104,60,2,9,0.0
105,60,2,10,0.0
106,60,2,11,0.0
107,60,2,12,0.0
108,60,2,13,0.0
109,60,2,14,0.0
110,60,2,15,0.0
111,60,2,16,0.0
112,60,2,17,0.0
113,60,2,18,0.0
114,61,0,0,16.58
115,61,0,1,0.0
116,61,0,2,0.0
117,61,0,3,0.0
118,61,0,4,0.27
119,61,0,5,0.27
120,61,0,6,1.36
121,61,0,7,1.63
122,61,0,8,3.26
123,61,0,9,1.9
124,61,0,10,2.72
125,61,0,11,2.17
126,61,0,12,0.54
127,61,0,13,0.82
128,61,0,14,1.36
129,61,0,15,0.0
130,61,0,16,0.0
131,61,0,17,0.27
132,61,0,18,0.0
133,61,1,0,7.61
134,61,1,1,0.0
135,61,1,2,0.0
136,61,1,3,0.0
137,61,1,4,0.0
138,61,1,5,0.27
139,61,1,6,0.82
140,61,1,7,1.36
141,61,1,8,2.45
142,61,1,9,0.54
143,61,1,10,0.82
144,61,1,11,1.09
145,61,1,12,0.0
146,61,1,13,0.0
147,61,1,14,0.27
148,61,1,15,0.0
149,61,1,16,0.0
150,61,1,17,0.0
151,61,1,18,0.0
152,61,2,0,8.97
153,61,2,1,0.0
154,61,2,2,0.0
155,61,2,3,0.0
156,61,2,4,0.27
157,61,2,5,0.0
158,61,2,6,0.54
159,61,2,7,0.27
160,61,2,8,0.82
161,61,2,9,1.36
162,61,2,10,1.9
163,61,2,11,1.09
164,61,2,12,0.54
165,61,2,13,0.82
166,61,2,14,1.09
167,61,2,15,0.0
168,61,2,16,0.0
169,61,2,17,0.27
170,61,2,18,0.0
171,62,0,0,3.26
172,62,0,1,0.0
173,62,0,2,0.0
174,62,0,3,0.0
175,62,0,4,0.27
176,62,0,5,0.54
177,62,0,6,0.27
178,62,0,7,0.54
179,62,0,8,0.27
180,62,0,9,0.0
181,62,0,10,0.82
182,62,0,11,0.27
183,62,0,12,0.27
184,62,0,13,0.0
185,62,0,14,0.0
186,62,0,15,0.0
187,62,0,16,0.0
188,62,0,17,0.0
189,62,0,18,0.0
190,62,1,0,2.45
191,62,1,1,0.0
192,62,1,2,0.0
193,62,1,3,0.0
194,62,1,4,0.27
195,62,1,5,0.27
196,62,1,6,0.27
197,62,1,7,0.54
198,62,1,8,0.27
199,62,1,9,0.0
200,62,1,10,0.27
201,62,1,11,0.27
202,62,1,12,0.27
203,62,1,13,0.0
204,62,1,14,0.0
205,62,1,15,0.0
206,62,1,16,0.0
207,62,1,17,0.0
208,62,1,18,0.0
209,62,2,0,0.82
210,62,2,1,0.0
211,62,2,2,0.0
212,62,2,3,0.0
213,62,2,4,0.0
214,62,2,5,0.27
215,62,2,6,0.0
216,62,2,7,0.0
217,62,2,8,0.0
218,62,2,9,0.0
219,62,2,10,0.54
220,62,2,11,0.0
221,62,2,12,0.0
222,62,2,13,0.0
223,62,2,14,0.0
224,62,2,15,0.0
225,62,2,16,0.0
226,62,2,17,0.0
227,62,2,18,0.0
228,63,0,0,0.0
229,63,0,1,0.0
230,63,0,2,0.0
231,63,0,3,0.0
232,63,0,4,0.0
233,63,0,5,0.0
234,63,0,6,0.0
235,63,0,7,0.0
236,63,0,8,0.0
237,63,0,9,0.0
238,63,0,10,0.0
239,63,0,11,0.0
240,63,0,12,0.0
241,63,0,13,0.0
242,63,0,14,0.0
243,63,0,15,0.0
244,63,0,16,0.0
245,63,0,17,0.0
246,63,0,18,0.0
247,63,1,0,0.0
248,63,1,1,0.0
249,63,1,2,0.0
250,63,1,3,0.0
251,63,1,4,0.0
252,63,1,5,0.0
253,63,1,6,0.0
254,63,1,7,0.0
255,63,1,8,0.0
256,63,1,9,0.0
257,63,1,10,0.0
258,63,1,11,0.0
259,63,1,12,0.0
260,63,1,13,0.0
261,63,1,14,0.0
262,63,1,15,0.0
263,63,1,16,0.0
264,63,1,17,0.0
265,63,1,18,0.0
266,63,2,0,0.0
267,63,2,1,0.0
268,63,2,2,0.0
269,63,2,3,0.0
270,63,2,4,0.0
