,country,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,vaccines
0,Afghanistan,590454.0,479372.0,111082.0,1.52,1.23,0.29,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
1,Albania,759043.0,481788.0,277255.0,26.38,16.74,9.63,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
2,Algeria,75000.0,0.0,0.0,0.17,0.0,0.0,Sputnik V
3,Andorra,32317.0,27613.0,4704.0,41.83,35.74,6.09,"Oxford/AstraZeneca, Pfizer/BioNTech"
4,Angola,859979.0,663049.0,196930.0,2.62,2.02,0.6,Oxford/AstraZeneca
5,Anguilla,13235.0,8811.0,4424.0,88.22,58.73,29.49,Oxford/AstraZeneca
6,Antigua and Barbuda,44230.0,32876.0,11354.0,45.17,33.57,11.59,Oxford/AstraZeneca
7,Argentina,11676733.0,9084600.0,2592133.0,25.84,20.1,5.74,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
8,Armenia,26562.0,26562.0,0.0,0.9,0.9,0.0,"Oxford/AstraZeneca, Sinovac, Sputnik V"
9,Aruba,113098.0,62698.0,50400.0,105.93,58.72,47.21,Pfizer/BioNTech
10,Australia,4031539.0,3540220.0,491319.0,15.81,13.88,1.93,"Oxford/AstraZeneca, Pfizer/BioNTech"
11,Austria,4980906.0,3565343.0,1451567.0,55.3,39.59,16.12,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
12,Azerbaijan,2169185.0,1279356.0,889829.0,21.39,12.62,8.78,"Oxford/AstraZeneca, Sinovac, Sputnik V"
13,Bahamas,50242.0,44226.0,6016.0,12.78,11.25,1.53,Oxford/AstraZeneca
14,Bahrain,1671687.0,905133.0,766554.0,98.24,53.19,45.05,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
15,Bangladesh,9939018.0,5823245.0,4115773.0,6.04,3.54,2.5,Oxford/AstraZeneca
16,Barbados,135082.0,77084.0,57998.0,47.01,26.82,20.18,Oxford/AstraZeneca
17,Belarus,710922.0,438620.0,272302.0,7.52,4.64,2.88,"Sinopharm/Beijing, Sputnik V"
18,Belgium,6492107.0,4553139.0,2006944.0,56.02,39.29,17.32,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
19,Belize,74016.0,63064.0,10952.0,18.61,15.86,2.75,"Oxford/AstraZeneca, Sinopharm/Beijing"
20,Benin,12934.0,12516.0,418.0,0.11,0.1,0.0,"Oxford/AstraZeneca, Sinovac"
21,Bermuda,68822.0,36096.0,32726.0,110.52,57.96,52.55,Pfizer/BioNTech
22,Bhutan,482716.0,482716.0,0.0,62.56,62.56,0.0,Oxford/AstraZeneca
23,Bolivia,1616658.0,1271262.0,345396.0,13.85,10.89,2.96,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
24,Bonaire Sint Eustatius and Saba,7391.0,5726.0,1665.0,28.19,21.84,6.35,"Moderna, Pfizer/BioNTech"
25,Bosnia and Herzegovina,232706.0,188848.0,43858.0,7.09,5.76,1.34,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
26,Botswana,71500.0,71500.0,0.0,3.04,3.04,0.0,Oxford/AstraZeneca
27,Brazil,66432341.0,44564785.0,21867556.0,31.25,20.97,10.29,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
28,British Virgin Islands,15031.0,11255.0,3776.0,49.71,37.22,12.49,Oxford/AstraZeneca
29,Brunei,33850.0,30000.0,5799.0,7.74,6.86,1.33,Oxford/AstraZeneca
30,Bulgaria,1341130.0,796827.0,544303.0,19.3,11.47,7.83,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
