Medio empleado;Sexo;Edad;Total
Total;Ambos sexos;Todas las edades;1.000,00
Total;Ambos sexos;Menores de 15 años;3,53
Total;Ambos sexos;De 15 a 19 años;13,59
Total;Ambos sexos;De 20 a 24 años;22,29
Total;Ambos sexos;De 25 a 29 años;38,33
Total;Ambos sexos;De 30 a 34 años;47,57
Total;Ambos sexos;De 35 a 39 años;75,29
Total;Ambos sexos;De 40 a 44 años;93,50
Total;Ambos sexos;De 45 a 49 años;99,76
Total;Ambos sexos;De 50 a 54 años;114,43
Total;Ambos sexos;De 55 a 59 años;98,40
Total;Ambos sexos;De 60 a 64 años;68,23
Total;Ambos sexos;De 65 a 69 años;62,52
Total;Ambos sexos;De 70 a 74 años;66,59
Total;Ambos sexos;De 75 a 79 años;55,45
Total;Ambos sexos;De 80 a 84 años;70,40
Total;Ambos sexos;De 85 a 89 años;48,93
Total;Ambos sexos;De 90 a 94 años;17,40
Total;Ambos sexos;De 95 años y más;3,81
Total;Hombres;Todas las edades;738,79
Total;Hombres;Menores de 15 años;1,63
Total;Hombres;De 15 a 19 años;8,97
Total;Hombres;De 20 a 24 años;17,94
Total;Hombres;De 25 a 29 años;28,54
Total;Hombres;De 30 a 34 años;39,14
Total;Hombres;De 35 a 39 años;57,08
Total;Hombres;De 40 a 44 años;66,87
Total;Hombres;De 45 a 49 años;79,10
Total;Hombres;De 50 a 54 años;82,90
Total;Hombres;De 55 a 59 años;69,04
Total;Hombres;De 60 a 64 años;46,21
Total;Hombres;De 65 a 69 años;44,03
Total;Hombres;De 70 a 74 años;45,12
Total;Hombres;De 75 a 79 años;39,41
Total;Hombres;De 80 a 84 años;55,45
Total;Hombres;De 85 a 89 años;38,87
Total;Hombres;De 90 a 94 años;15,22
Total;Hombres;De 95 años y más;3,26
Total;Mujeres;Todas las edades;261,21
Total;Mujeres;Menores de 15 años;1,90
Total;Mujeres;De 15 a 19 años;4,62
Total;Mujeres;De 20 a 24 años;4,35
Total;Mujeres;De 25 a 29 años;9,79
Total;Mujeres;De 30 a 34 años;8,43
Total;Mujeres;De 35 a 39 años;18,21
Total;Mujeres;De 40 a 44 años;26,64
Total;Mujeres;De 45 a 49 años;20,66
Total;Mujeres;De 50 a 54 años;31,53
Total;Mujeres;De 55 a 59 años;29,36
Total;Mujeres;De 60 a 64 años;22,02
Total;Mujeres;De 65 a 69 años;18,48
Total;Mujeres;De 70 a 74 años;21,47
Total;Mujeres;De 75 a 79 años;16,04
Total;Mujeres;De 80 a 84 años;14,95
Total;Mujeres;De 85 a 89 años;10,06
Total;Mujeres;De 90 a 94 años;2,17
Total;Mujeres;De 95 años y más;0,54
X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;Ambos sexos;Todas las edades;0,54
X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;Ambos sexos;Menores de 15 años;0,00
X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;Ambos sexos;De 15 a 19 años;0,00
X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;Ambos sexos;De 20 a 24 años;0,27
X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;Ambos sexos;De 25 a 29 años;0,00
X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;Ambos sexos;De 30 a 34 años;0,00
X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;Ambos sexos;De 35 a 39 años;0,00
X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;Ambos sexos;De 40 a 44 años;0,27
X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;Ambos sexos;De 45 a 49 años;0,00
X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;Ambos sexos;De 50 a 54 años;0,00
X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;Ambos sexos;De 55 a 59 años;0,00
X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;Ambos sexos;De 60 a 64 años;0,00
X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;Ambos sexos;De 65 a 69 años;0,00
X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;Ambos sexos;De 70 a 74 años;0,00
X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;Ambos sexos;De 75 a 79 años;0,00
X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;Ambos sexos;De 80 a 84 años;0,00
X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;Ambos sexos;De 85 a 89 años;0,00
X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;Ambos sexos;De 90 a 94 años;0,00
X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;Ambos sexos;De 95 años y más;0,00
X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;Hombres;Todas las edades;0,00
X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;Hombres;Menores de 15 años;0,00
X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;Hombres;De 15 a 19 años;0,00
X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;Hombres;De 20 a 24 años;0,00
X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;Hombres;De 25 a 29 años;0,00
