Edad;Nacionalidad;Sexo;Total
Todas las edades;Total;Ambos sexos;3.679
Todas las edades;Total;Hombres;2.718
Todas las edades;Total;Mujeres;961
Todas las edades;Española;Ambos sexos;3.366
Todas las edades;Española;Hombres;2.468
Todas las edades;Española;Mujeres;898
Todas las edades;Extranjera;Ambos sexos;308
Todas las edades;Extranjera;Hombres;245
Todas las edades;Extranjera;Mujeres;63
Todas las edades;No consta;Ambos sexos;5
Todas las edades;No consta;Hombres;5
Todas las edades;No consta;Mujeres;0
Menores de 15 años;Total;Ambos sexos;13
Menores de 15 años;Total;Hombres;6
Menores de 15 años;Total;Mujeres;7
Menores de 15 años;Española;Ambos sexos;11
Menores de 15 años;Española;Hombres;6
Menores de 15 años;Española;Mujeres;5
Menores de 15 años;Extranjera;Ambos sexos;2
Menores de 15 años;Extranjera;Hombres;0
Menores de 15 años;Extranjera;Mujeres;2
Menores de 15 años;No consta;Ambos sexos;0
Menores de 15 años;No consta;Hombres;0
Menores de 15 años;No consta;Mujeres;0
De 15 a 29 años;Total;Ambos sexos;273
De 15 a 29 años;Total;Hombres;204
De 15 a 29 años;Total;Mujeres;69
De 15 a 29 años;Española;Ambos sexos;214
De 15 a 29 años;Española;Hombres;158
De 15 a 29 años;Española;Mujeres;56
De 15 a 29 años;Extranjera;Ambos sexos;59
De 15 a 29 años;Extranjera;Hombres;46
De 15 a 29 años;Extranjera;Mujeres;13
De 15 a 29 años;No consta;Ambos sexos;0
De 15 a 29 años;No consta;Hombres;0
De 15 a 29 años;No consta;Mujeres;0
De 30 a 39 años;Total;Ambos sexos;452
De 30 a 39 años;Total;Hombres;354
De 30 a 39 años;Total;Mujeres;98
De 30 a 39 años;Española;Ambos sexos;379
De 30 a 39 años;Española;Hombres;294
De 30 a 39 años;Española;Mujeres;85
De 30 a 39 años;Extranjera;Ambos sexos;71
De 30 a 39 años;Extranjera;Hombres;58
De 30 a 39 años;Extranjera;Mujeres;13
De 30 a 39 años;No consta;Ambos sexos;2
De 30 a 39 años;No consta;Hombres;2
De 30 a 39 años;No consta;Mujeres;0
De 40 a 44 años;Total;Ambos sexos;344
De 40 a 44 años;Total;Hombres;246
De 40 a 44 años;Total;Mujeres;98
De 40 a 44 años;Española;Ambos sexos;302
De 40 a 44 años;Española;Hombres;211
De 40 a 44 años;Española;Mujeres;91
De 40 a 44 años;Extranjera;Ambos sexos;42
De 40 a 44 años;Extranjera;Hombres;35
De 40 a 44 años;Extranjera;Mujeres;7
De 40 a 44 años;No consta;Ambos sexos;0
De 40 a 44 años;No consta;Hombres;0
De 40 a 44 años;No consta;Mujeres;0
De 45 a 49 años;Total;Ambos sexos;367
De 45 a 49 años;Total;Hombres;291
De 45 a 49 años;Total;Mujeres;76
De 45 a 49 años;Española;Ambos sexos;340
De 45 a 49 años;Española;Hombres;271
De 45 a 49 años;Española;Mujeres;69
De 45 a 49 años;Extranjera;Ambos sexos;27
De 45 a 49 años;Extranjera;Hombres;20
De 45 a 49 años;Extranjera;Mujeres;7
De 45 a 49 años;No consta;Ambos sexos;0
De 45 a 49 años;No consta;Hombres;0
De 45 a 49 años;No consta;Mujeres;0
De 50 a 54 años;Total;Ambos sexos;421
De 50 a 54 años;Total;Hombres;305
De 50 a 54 años;Total;Mujeres;116
De 50 a 54 años;Española;Ambos sexos;397
De 50 a 54 años;Española;Hombres;288
De 50 a 54 años;Española;Mujeres;109
De 50 a 54 años;Extranjera;Ambos sexos;24
De 50 a 54 años;Extranjera;Hombres;17
De 50 a 54 años;Extranjera;Mujeres;7
De 50 a 54 años;No consta;Ambos sexos;0
De 50 a 54 años;No consta;Hombres;0
De 50 a 54 años;No consta;Mujeres;0
De 55 a 59 años;Total;Ambos sexos;362
De 55 a 59 años;Total;Hombres;254
De 55 a 59 años;Total;Mujeres;108
De 55 a 59 años;Española;Ambos sexos;335
De 55 a 59 años;Española;Hombres;231
De 55 a 59 años;Española;Mujeres;104
De 55 a 59 años;Extranjera;Ambos sexos;26
De 55 a 59 años;Extranjera;Hombres;22
De 55 a 59 años;Extranjera;Mujeres;4
De 55 a 59 años;No consta;Ambos sexos;1
De 55 a 59 años;No consta;Hombres;1
De 55 a 59 años;No consta;Mujeres;0
De 60 a 64 años;Total;Ambos sexos;251
De 60 a 64 años;Total;Hombres;170
De 60 a 64 años;Total;Mujeres;81
De 60 a 64 años;Española;Ambos sexos;235
De 60 a 64 años;Española;Hombres;156
De 60 a 64 años;Española;Mujeres;79
De 60 a 64 años;Extranjera;Ambos sexos;15
De 60 a 64 años;Extranjera;Hombres;13
De 60 a 64 años;Extranjera;Mujeres;2
De 60 a 64 años;No consta;Ambos sexos;1
De 60 a 64 años;No consta;Hombres;1
De 60 a 64 años;No consta;Mujeres;0
De 65 a 69 años;Total;Ambos sexos;230
De 65 a 69 años;Total;Hombres;162
De 65 a 69 años;Total;Mujeres;68
De 65 a 69 años;Española;Ambos sexos;212
De 65 a 69 años;Española;Hombres;147
De 65 a 69 años;Española;Mujeres;65
De 65 a 69 años;Extranjera;Ambos sexos;18
De 65 a 69 años;Extranjera;Hombres;15
De 65 a 69 años;Extranjera;Mujeres;3
De 65 a 69 años;No consta;Ambos sexos;0
De 65 a 69 años;No consta;Hombres;0
De 65 a 69 años;No consta;Mujeres;0
De 70 a 74 años;Total;Ambos sexos;245
De 70 a 74 años;Total;Hombres;166
De 70 a 74 años;Total;Mujeres;79
De 70 a 74 años;Española;Ambos sexos;236
De 70 a 74 años;Española;Hombres;158
De 70 a 74 años;Española;Mujeres;78
De 70 a 74 años;Extranjera;Ambos sexos;8
De 70 a 74 años;Extranjera;Hombres;7
De 70 a 74 años;Extranjera;Mujeres;1
De 70 a 74 años;No consta;Ambos sexos;1
De 70 a 74 años;No consta;Hombres;1
De 70 a 74 años;No consta;Mujeres;0
De 75 a 79 años;Total;Ambos sexos;204
De 75 a 79 años;Total;Hombres;145
De 75 a 79 años;Total;Mujeres;59
De 75 a 79 años;Española;Ambos sexos;200
De 75 a 79 años;Española;Hombres;144
De 75 a 79 años;Española;Mujeres;56
De 75 a 79 años;Extranjera;Ambos sexos;4
De 75 a 79 años;Extranjera;Hombres;1
De 75 a 79 años;Extranjera;Mujeres;3
De 75 a 79 años;No consta;Ambos sexos;0
De 75 a 79 años;No consta;Hombres;0
De 75 a 79 años;No consta;Mujeres;0
De 80 a 84 años;Total;Ambos sexos;259
De 80 a 84 años;Total;Hombres;204
De 80 a 84 años;Total;Mujeres;55
De 80 a 84 años;Española;Ambos sexos;250
De 80 a 84 años;Española;Hombres;196
De 80 a 84 años;Española;Mujeres;54
De 80 a 84 años;Extranjera;Ambos sexos;9
De 80 a 84 años;Extranjera;Hombres;8
De 80 a 84 años;Extranjera;Mujeres;1
De 80 a 84 años;No consta;Ambos sexos;0
De 80 a 84 años;No consta;Hombres;0
De 80 a 84 años;No consta;Mujeres;0
De 85 a 89 años;Total;Ambos sexos;180
De 85 a 89 años;Total;Hombres;143
De 85 a 89 años;Total;Mujeres;37
De 85 a 89 años;Española;Ambos sexos;179
De 85 a 89 años;Española;Hombres;142
De 85 a 89 años;Española;Mujeres;37
De 85 a 89 años;Extranjera;Ambos sexos;1
De 85 a 89 años;Extranjera;Hombres;1
De 85 a 89 años;Extranjera;Mujeres;0
De 85 a 89 años;No consta;Ambos sexos;0
De 85 a 89 años;No consta;Hombres;0
De 85 a 89 años;No consta;Mujeres;0
De 90 a 94 años;Total;Ambos sexos;64
De 90 a 94 años;Total;Hombres;56
De 90 a 94 años;Total;Mujeres;8
De 90 a 94 años;Española;Ambos sexos;62
De 90 a 94 años;Española;Hombres;54
De 90 a 94 años;Española;Mujeres;8
De 90 a 94 años;Extranjera;Ambos sexos;2
De 90 a 94 años;Extranjera;Hombres;2
De 90 a 94 años;Extranjera;Mujeres;0
De 90 a 94 años;No consta;Ambos sexos;0
De 90 a 94 años;No consta;Hombres;0
De 90 a 94 años;No consta;Mujeres;0
De 95 años y más;Total;Ambos sexos;14
De 95 años y más;Total;Hombres;12
De 95 años y más;Total;Mujeres;2
De 95 años y más;Española;Ambos sexos;14
De 95 años y más;Española;Hombres;12
De 95 años y más;Española;Mujeres;2
De 95 años y más;Extranjera;Ambos sexos;0
De 95 años y más;Extranjera;Hombres;0
De 95 años y más;Extranjera;Mujeres;0
De 95 años y más;No consta;Ambos sexos;0
De 95 años y más;No consta;Hombres;0
De 95 años y más;No consta;Mujeres;0
