Edad;Sexo;Total
Todas las edades;Ambos sexos;3.679
Todas las edades;Hombres;2.718
Todas las edades;Mujeres;961
Menores de 15 años;Ambos sexos;13
Menores de 15 años;Hombres;6
Menores de 15 años;Mujeres;7
De 15 a 29 años;Ambos sexos;273
De 15 a 29 años;Hombres;204
De 15 a 29 años;Mujeres;69
De 30 a 39 años;Ambos sexos;452
De 30 a 39 años;Hombres;354
De 30 a 39 años;Mujeres;98
De 40 a 44 años;Ambos sexos;344
De 40 a 44 años;Hombres;246
De 40 a 44 años;Mujeres;98
De 45 a 49 años;Ambos sexos;367
De 45 a 49 años;Hombres;291
De 45 a 49 años;Mujeres;76
De 50 a 54 años;Ambos sexos;421
De 50 a 54 años;Hombres;305
De 50 a 54 años;Mujeres;116
De 55 a 59 años;Ambos sexos;362
De 55 a 59 años;Hombres;254
De 55 a 59 años;Mujeres;108
De 60 a 64 años;Ambos sexos;251
De 60 a 64 años;Hombres;170
De 60 a 64 años;Mujeres;81
De 65 a 69 años;Ambos sexos;230
De 65 a 69 años;Hombres;162
De 65 a 69 años;Mujeres;68
De 70 a 74 años;Ambos sexos;245
De 70 a 74 años;Hombres;166
De 70 a 74 años;Mujeres;79
De 75 a 79 años;Ambos sexos;204
De 75 a 79 años;Hombres;145
De 75 a 79 años;Mujeres;59
De 80 a 84 años;Ambos sexos;259
De 80 a 84 años;Hombres;204
De 80 a 84 años;Mujeres;55
De 85 a 89 años;Ambos sexos;180
De 85 a 89 años;Hombres;143
De 85 a 89 años;Mujeres;37
De 90 a 94 años;Ambos sexos;64
De 90 a 94 años;Hombres;56
De 90 a 94 años;Mujeres;8
De 95 años y más;Ambos sexos;14
De 95 años y más;Hombres;12
De 95 años y más;Mujeres;2
